DIA,COD_POST_ADRE,CONSUM,YEAR,MONTH,DAY,Desc_Mes,Temperatura,Sector_Economic,Valor
2021-04-13,8033,9079,2021,4,13,Abril,12.9,Residencial,68788
2021-04-30,8005,653,2021,4,30,Abril,12.9,Residencial,144092
2021-04-29,8002,532,2021,4,29,Abril,12.9,Residencial,98327
2021-04-27,8023,626,2021,4,27,Abril,12.9,Residencial,129159
2021-04-06,8012,234,2021,4,6,Abril,12.9,Residencial,121325
2021-04-04,8001,502,2021,4,4,Abril,12.9,Residencial,106039
2021-04-03,8018,361,2021,4,3,Abril,12.9,Residencial,135571
2021-04-22,8040,17671,2021,4,22,Abril,12.9,Residencial,53290
2021-04-08,8023,564,2021,4,8,Abril,12.9,Residencial,134623
2021-04-24,8007,881,2021,4,24,Abril,12.9,Residencial,167344
2021-04-10,8021,527,2021,4,10,Abril,12.9,Residencial,165356
2021-04-23,8018,655,2021,4,23,Abril,12.9,Residencial,164894
2021-04-03,8019,556,2021,4,3,Abril,12.9,Residencial,137542
2021-04-12,8009,499,2021,4,12,Abril,12.9,Residencial,84562
2021-04-02,8007,708,2021,4,2,Abril,12.9,Residencial,146940
2021-04-25,8040,9606,2021,4,25,Abril,12.9,Residencial,34980
2021-04-27,8015,413,2021,4,27,Abril,12.9,Residencial,185545
2021-04-29,8032,282,2021,4,29,Abril,12.9,Residencial,150317
2021-04-17,8004,468,2021,4,17,Abril,12.9,Residencial,144956
2021-04-26,8035,1083,2021,4,26,Abril,12.9,Residencial,93830
2021-04-09,8040,9442,2021,4,9,Abril,12.9,Residencial,53860
2021-04-16,8009,505,2021,4,16,Abril,12.9,Residencial,83370
2021-04-29,8041,562,2021,4,29,Abril,12.9,Residencial,148443
2021-04-24,8039,11344,2021,4,24,Abril,12.9,Residencial,15389
2021-04-03,8035,793,2021,4,3,Abril,12.9,Residencial,77583
2021-04-12,8006,388,2021,4,12,Abril,12.9,Residencial,168958
2021-04-09,8021,673,2021,4,9,Abril,12.9,Residencial,178074
2021-04-16,8037,360,2021,4,16,Abril,12.9,Residencial,57602
2021-04-26,8019,588,2021,4,26,Abril,12.9,Residencial,161302
2021-04-26,8003,1148,2021,4,26,Abril,12.9,Residencial,136044
2021-04-23,8028,512,2021,4,23,Abril,12.9,Residencial,276787
2021-04-26,8027,2976,2021,4,26,Abril,12.9,Residencial,189556
2021-04-02,8039,5733,2021,4,2,Abril,12.9,Residencial,20388
2021-04-03,8042,2407,2021,4,3,Abril,12.9,Residencial,105818
2021-04-22,8029,591,2021,4,22,Abril,12.9,Residencial,239258
