DIA,COD_POST_ADRE,CONSUM,YEAR,MONTH,DAY,Desc_Mes,Temperatura,Sector_Economic,Valor
2021-04-28,8042,4199,2021,4,28,Abril,12.9,Serveis,145990
2021-04-01,8007,590,2021,4,1,Abril,12.9,Serveis,338123
2021-04-05,8036,678,2021,4,5,Abril,12.9,Serveis,161904
2021-04-26,8032,264,2021,4,26,Abril,12.9,Serveis,62345
2021-04-08,8006,384,2021,4,8,Abril,12.9,Serveis,242426
2021-04-01,8039,7460,2021,4,1,Abril,12.9,Serveis,224492
2021-04-02,8035,1016,2021,4,2,Abril,12.9,Serveis,270447
2021-04-19,8035,1118,2021,4,19,Abril,12.9,Serveis,320008
2021-04-02,8003,387,2021,4,2,Abril,12.9,Serveis,243800
2021-04-27,8019,586,2021,4,27,Abril,12.9,Serveis,165092
2021-04-02,8042,3854,2021,4,2,Abril,12.9,Serveis,121295
2021-04-15,8016,7469,2021,4,15,Abril,12.9,Serveis,134375
2021-04-30,8021,466,2021,4,30,Abril,12.9,Serveis,178721
2021-04-08,8036,801,2021,4,8,Abril,12.9,Serveis,210317
2021-04-07,8021,624,2021,4,7,Abril,12.9,Serveis,188806
2021-04-21,8007,527,2021,4,21,Abril,12.9,Serveis,362877
2021-04-05,8006,326,2021,4,5,Abril,12.9,Serveis,174278
2021-04-20,8028,571,2021,4,20,Abril,12.9,Serveis,476864
2021-04-27,8027,2590,2021,4,27,Abril,12.9,Serveis,178511
2021-04-05,8015,342,2021,4,5,Abril,12.9,Serveis,193880
2021-04-21,8014,339,2021,4,21,Abril,12.9,Serveis,290123
2021-04-15,8022,799,2021,4,15,Abril,12.9,Serveis,148148
2021-04-04,8023,488,2021,4,4,Abril,12.9,Serveis,101418
2021-04-16,8025,438,2021,4,16,Abril,12.9,Serveis,255106
2021-04-20,8018,590,2021,4,20,Abril,12.9,Serveis,335242
2021-04-23,8001,431,2021,4,23,Abril,12.9,Serveis,175669
2021-04-09,8030,6679,2021,4,9,Abril,12.9,Serveis,467497
2021-04-12,8041,611,2021,4,12,Abril,12.9,Serveis,92920
2021-04-11,8010,433,2021,4,11,Abril,12.9,Serveis,70341
2021-04-14,8010,423,2021,4,14,Abril,12.9,Serveis,93392
2021-04-06,8041,680,2021,4,6,Abril,12.9,Serveis,88492
2021-04-03,8032,317,2021,4,3,Abril,12.9,Serveis,50727
2021-04-06,8032,330,2021,4,6,Abril,12.9,Serveis,63323
2021-04-11,8020,356,2021,4,11,Abril,12.9,Serveis,245157
2021-04-26,8028,596,2021,4,26,Abril,12.9,Serveis,471905
2021-04-15,8037,378,2021,4,15,Abril,12.9,Serveis,96254
2021-04-25,8042,2214,2021,4,25,Abril,12.9,Serveis,120861
2021-04-25,8003,1219,2021,4,25,Abril,12.9,Serveis,243707
2021-04-11,8036,625,2021,4,11,Abril,12.9,Serveis,153503
2021-04-21,8024,293,2021,4,21,Abril,12.9,Serveis,127267
2021-04-01,8004,413,2021,4,1,Abril,12.9,Serveis,142510
2021-04-17,8038,593,2021,4,17,Abril,12.9,Serveis,182507
2021-04-06,8002,416,2021,4,6,Abril,12.9,Serveis,353591
2021-04-28,8040,8542,2021,4,28,Abril,12.9,Serveis,572908
2021-04-15,8009,513,2021,4,15,Abril,12.9,Serveis,116647
2021-04-25,8035,871,2021,4,25,Abril,12.9,Serveis,261535
