DIA,COD_POST_ADRE,CONSUM,YEAR,MONTH,DAY,Desc_Mes,Temperatura,Sector_Economic,Valor
2021-04-08,8015,396,2021,4,8,Abril,12.9,Indústria,11057
2021-04-20,8013,439,2021,4,20,Abril,12.9,Indústria,13090
2021-04-06,8030,32043,2021,4,6,Abril,12.9,Indústria,215734
2021-04-16,8031,675,2021,4,16,Abril,12.9,Indústria,2135
2021-04-09,8016,19074,2021,4,9,Abril,12.9,Indústria,5739
2021-04-11,8026,315,2021,4,11,Abril,12.9,Indústria,3262
2021-04-26,8002,485,2021,4,26,Abril,12.9,Indústria,11469
2021-04-04,8024,341,2021,4,4,Abril,12.9,Indústria,5923
2021-04-10,8033,8657,2021,4,10,Abril,12.9,Indústria,1581
2021-04-03,8002,555,2021,4,3,Abril,12.9,Indústria,8653
2021-04-06,8028,1914,2021,4,6,Abril,12.9,Indústria,15603
2021-04-19,8003,1122,2021,4,19,Abril,12.9,Indústria,11139
2021-04-25,8006,426,2021,4,25,Abril,12.9,Indústria,13423
2021-04-06,8001,477,2021,4,6,Abril,12.9,Indústria,4953
2021-04-04,8014,373,2021,4,4,Abril,12.9,Indústria,9660
2021-04-17,8026,302,2021,4,17,Abril,12.9,Indústria,3533
2021-04-21,8039,7428,2021,4,21,Abril,12.9,Indústria,270140
2021-04-25,8036,503,2021,4,25,Abril,12.9,Indústria,4951
2021-04-28,8042,4199,2021,4,28,Abril,12.9,Indústria,2930
2021-04-01,8007,590,2021,4,1,Abril,12.9,Indústria,19154
2021-04-05,8036,678,2021,4,5,Abril,12.9,Indústria,7384
2021-04-26,8032,264,2021,4,26,Abril,12.9,Indústria,2663
2021-04-08,8006,384,2021,4,8,Abril,12.9,Indústria,16554
2021-04-01,8039,7460,2021,4,1,Abril,12.9,Indústria,307993
2021-04-02,8035,1016,2021,4,2,Abril,12.9,Indústria,1819
2021-04-19,8035,1118,2021,4,19,Abril,12.9,Indústria,2974
2021-04-02,8003,387,2021,4,2,Abril,12.9,Indústria,8098
2021-04-27,8019,586,2021,4,27,Abril,12.9,Indústria,27948
2021-04-02,8042,3854,2021,4,2,Abril,12.9,Indústria,2341
2021-04-15,8016,7469,2021,4,15,Abril,12.9,Indústria,5664
2021-04-30,8021,466,2021,4,30,Abril,12.9,Indústria,15208
2021-04-08,8036,801,2021,4,8,Abril,12.9,Indústria,9608
2021-04-07,8021,624,2021,4,7,Abril,12.9,Indústria,15848
2021-04-21,8007,527,2021,4,21,Abril,12.9,Indústria,21868
2021-04-05,8006,326,2021,4,5,Abril,12.9,Indústria,13012
2021-04-20,8028,571,2021,4,20,Abril,12.9,Indústria,15871
2021-04-27,8027,2590,2021,4,27,Abril,12.9,Indústria,5270
2021-04-05,8015,342,2021,4,5,Abril,12.9,Indústria,7301
2021-04-21,8014,339,2021,4,21,Abril,12.9,Indústria,13719
2021-04-15,8022,799,2021,4,15,Abril,12.9,Indústria,6532
2021-04-04,8023,488,2021,4,4,Abril,12.9,Indústria,1724
2021-04-16,8025,438,2021,4,16,Abril,12.9,Indústria,12387
2021-04-20,8018,590,2021,4,20,Abril,12.9,Indústria,50884
2021-04-23,8001,431,2021,4,23,Abril,12.9,Indústria,5208
2021-04-09,8030,6679,2021,4,9,Abril,12.9,Indústria,230531
2021-04-12,8041,611,2021,4,12,Abril,12.9,Indústria,7202
2021-04-11,8010,433,2021,4,11,Abril,12.9,Indústria,4238
2021-04-14,8010,423,2021,4,14,Abril,12.9,Indústria,5126
2021-04-06,8041,680,2021,4,6,Abril,12.9,Indústria,6560
2021-04-03,8032,317,2021,4,3,Abril,12.9,Indústria,1453
2021-04-06,8032,330,2021,4,6,Abril,12.9,Indústria,2477
2021-04-11,8020,356,2021,4,11,Abril,12.9,Indústria,30686
2021-04-26,8028,596,2021,4,26,Abril,12.9,Indústria,16118
2021-04-15,8037,378,2021,4,15,Abril,12.9,Indústria,4179
2021-04-25,8042,2214,2021,4,25,Abril,12.9,Indústria,2321
2021-04-25,8003,1219,2021,4,25,Abril,12.9,Indústria,11755
2021-04-11,8036,625,2021,4,11,Abril,12.9,Indústria,5112
2021-04-21,8024,293,2021,4,21,Abril,12.9,Indústria,7974
2021-04-01,8004,413,2021,4,1,Abril,12.9,Indústria,194409
2021-04-17,8038,593,2021,4,17,Abril,12.9,Indústria,223134
2021-04-06,8002,416,2021,4,6,Abril,12.9,Indústria,10348
2021-04-28,8040,8542,2021,4,28,Abril,12.9,Indústria,345037
2021-04-15,8009,513,2021,4,15,Abril,12.9,Indústria,9021
2021-04-25,8035,871,2021,4,25,Abril,12.9,Indústria,1816
2021-04-26,8030,5499,2021,4,26,Abril,12.9,Indústria,217456
2021-04-01,8038,576,2021,4,1,Abril,12.9,Indústria,267722
2021-04-11,8006,361,2021,4,11,Abril,12.9,Indústria,13771
2021-04-16,8034,1393,2021,4,16,Abril,12.9,Indústria,10008
2021-04-18,8011,410,2021,4,18,Abril,12.9,Indústria,3426
2021-04-13,8031,742,2021,4,13,Abril,12.9,Indústria,2162
2021-04-26,8018,583,2021,4,26,Abril,12.9,Indústria,49623
2021-04-12,8016,56623,2021,4,12,Abril,12.9,Indústria,5809
2021-04-30,8012,256,2021,4,30,Abril,12.9,Indústria,9409
2021-04-27,8021,502,2021,4,27,Abril,12.9,Indústria,15655
2021-04-10,8012,279,2021,4,10,Abril,12.9,Indústria,7479
2021-04-02,8040,7757,2021,4,2,Abril,12.9,Indústria,225516
2021-04-14,8025,438,2021,4,14,Abril,12.9,Indústria,12810
2021-04-27,8007,562,2021,4,27,Abril,12.9,Indústria,21273
2021-04-24,8024,449,2021,4,24,Abril,12.9,Indústria,6662
2021-04-22,8008,648,2021,4,22,Abril,12.9,Indústria,7598
2021-04-12,8022,777,2021,4,12,Abril,12.9,Indústria,7229
2021-04-17,8013,442,2021,4,17,Abril,12.9,Indústria,10370
2021-04-21,8011,304,2021,4,21,Abril,12.9,Indústria,5451
2021-04-13,8005,539,2021,4,13,Abril,12.9,Indústria,18633
2021-04-04,8015,342,2021,4,4,Abril,12.9,Indústria,7168
2021-04-24,8014,416,2021,4,24,Abril,12.9,Indústria,10675
2021-04-03,8028,454,2021,4,3,Abril,12.9,Indústria,11392
2021-04-30,8033,11128,2021,4,30,Abril,12.9,Indústria,1994
2021-04-12,8037,371,2021,4,12,Abril,12.9,Indústria,4195
2021-04-13,8033,9079,2021,4,13,Abril,12.9,Indústria,1920
2021-04-30,8005,653,2021,4,30,Abril,12.9,Indústria,18384
2021-04-29,8002,532,2021,4,29,Abril,12.9,Indústria,11618
2021-04-27,8023,626,2021,4,27,Abril,12.9,Indústria,2346
2021-04-06,8012,234,2021,4,6,Abril,12.9,Indústria,9292
2021-04-04,8001,502,2021,4,4,Abril,12.9,Indústria,4133
2021-04-03,8018,361,2021,4,3,Abril,12.9,Indústria,29364
2021-04-22,8040,17671,2021,4,22,Abril,12.9,Indústria,339821
2021-04-08,8023,564,2021,4,8,Abril,12.9,Indústria,2199
2021-04-24,8007,881,2021,4,24,Abril,12.9,Indústria,15129
2021-04-10,8021,527,2021,4,10,Abril,12.9,Indústria,10609
2021-04-23,8018,655,2021,4,23,Abril,12.9,Indústria,57810
2021-04-03,8019,556,2021,4,3,Abril,12.9,Indústria,13748
2021-04-12,8009,499,2021,4,12,Abril,12.9,Indústria,8811
2021-04-02,8007,708,2021,4,2,Abril,12.9,Indústria,16212
2021-04-25,8040,9606,2021,4,25,Abril,12.9,Indústria,251043
2021-04-27,8015,413,2021,4,27,Abril,12.9,Indústria,10678
2021-04-29,8032,282,2021,4,29,Abril,12.9,Indústria,2659
2021-04-17,8004,468,2021,4,17,Abril,12.9,Indústria,206961
2021-04-26,8035,1083,2021,4,26,Abril,12.9,Indústria,2747
2021-04-09,8040,9442,2021,4,9,Abril,12.9,Indústria,359355
2021-04-16,8009,505,2021,4,16,Abril,12.9,Indústria,9057
2021-04-29,8041,562,2021,4,29,Abril,12.9,Indústria,7670
2021-04-24,8039,11344,2021,4,24,Abril,12.9,Indústria,285341
2021-04-03,8035,793,2021,4,3,Abril,12.9,Indústria,1879
2021-04-12,8006,388,2021,4,12,Abril,12.9,Indústria,17174
2021-04-09,8021,673,2021,4,9,Abril,12.9,Indústria,15231
2021-04-16,8037,360,2021,4,16,Abril,12.9,Indústria,4146
2021-04-26,8019,588,2021,4,26,Abril,12.9,Indústria,29435
2021-04-26,8003,1148,2021,4,26,Abril,12.9,Indústria,12761
2021-04-23,8028,512,2021,4,23,Abril,12.9,Indústria,14713
2021-04-26,8027,2976,2021,4,26,Abril,12.9,Indústria,5289
2021-04-02,8039,5733,2021,4,2,Abril,12.9,Indústria,313269
2021-04-03,8042,2407,2021,4,3,Abril,12.9,Indústria,2535
2021-04-22,8029,591,2021,4,22,Abril,12.9,Indústria,14591
2021-04-26,8042,8680,2021,4,26,Abril,12.9,Indústria,2798
2021-04-12,8036,764,2021,4,12,Abril,12.9,Indústria,9690
2021-04-03,8027,1261,2021,4,3,Abril,12.9,Indústria,4129
2021-04-03,8003,387,2021,4,3,Abril,12.9,Indústria,8577
2021-04-30,8027,2484,2021,4,30,Abril,12.9,Indústria,5513
2021-04-16,8013,504,2021,4,16,Abril,12.9,Indústria,13201
2021-04-11,8023,478,2021,4,11,Abril,12.9,Indústria,1845
2021-04-05,8007,747,2021,4,5,Abril,12.9,Indústria,16563
2021-04-07,8001,485,2021,4,7,Abril,12.9,Indústria,5001
2021-04-28,8023,492,2021,4,28,Abril,12.9,Indústria,2350
2021-04-17,8025,426,2021,4,17,Abril,12.9,Indústria,10553
2021-04-01,8023,619,2021,4,1,Abril,12.9,Indústria,1921
2021-04-19,8037,401,2021,4,19,Abril,12.9,Indústria,4124
2021-04-14,8020,448,2021,4,14,Abril,12.9,Indústria,49843
2021-04-05,8039,10204,2021,4,5,Abril,12.9,Indústria,254093
2021-04-19,8009,510,2021,4,19,Abril,12.9,Indústria,9102
2021-04-18,8017,873,2021,4,18,Abril,12.9,Indústria,5806
2021-04-15,8034,1257,2021,4,15,Abril,12.9,Indústria,10573
2021-04-10,8027,1814,2021,4,10,Abril,12.9,Indústria,4442
2021-04-17,8010,534,2021,4,17,Abril,12.9,Indústria,4618
2021-04-02,8028,461,2021,4,2,Abril,12.9,Indústria,10971
2021-04-30,8001,423,2021,4,30,Abril,12.9,Indústria,5173
2021-04-16,8010,476,2021,4,16,Abril,12.9,Indústria,5166
2021-04-08,8040,9902,2021,4,8,Abril,12.9,Indústria,369357
2021-04-09,8042,10783,2021,4,9,Abril,12.9,Indústria,2996
2021-04-09,8027,3402,2021,4,9,Abril,12.9,Indústria,5338
2021-04-02,8034,1050,2021,4,2,Abril,12.9,Indústria,7208
2021-04-09,8019,598,2021,4,9,Abril,12.9,Indústria,27894
2021-04-23,8008,539,2021,4,23,Abril,12.9,Indústria,7109
2021-04-20,8004,411,2021,4,20,Abril,12.9,Indústria,314349
2021-04-29,8012,289,2021,4,29,Abril,12.9,Indústria,9530
2021-04-03,8024,376,2021,4,3,Abril,12.9,Indústria,6604
2021-04-02,8018,376,2021,4,2,Abril,12.9,Indústria,33471
2021-04-28,8006,399,2021,4,28,Abril,12.9,Indústria,16603
2021-04-18,8029,396,2021,4,18,Abril,12.9,Indústria,8725
2021-04-25,8028,482,2021,4,25,Abril,12.9,Indústria,11578
2021-04-26,8021,493,2021,4,26,Abril,12.9,Indústria,15578
2021-04-07,8032,378,2021,4,7,Abril,12.9,Indústria,2462
2021-04-26,8040,9880,2021,4,26,Abril,12.9,Indústria,333756
2021-04-15,8029,498,2021,4,15,Abril,12.9,Indústria,14390
2021-04-10,8019,557,2021,4,10,Abril,12.9,Indústria,15570
2021-04-28,8015,367,2021,4,28,Abril,12.9,Indústria,10161
2021-04-16,8023,584,2021,4,16,Abril,12.9,Indústria,2338
2021-04-20,8038,602,2021,4,20,Abril,12.9,Indústria,290013
2021-04-07,8002,413,2021,4,7,Abril,12.9,Indústria,11041
2021-04-03,8040,6433,2021,4,3,Abril,12.9,Indústria,226265
2021-04-01,8015,395,2021,4,1,Abril,12.9,Indústria,9615
2021-04-22,8042,5724,2021,4,22,Abril,12.9,Indústria,2908
2021-04-03,8021,500,2021,4,3,Abril,12.9,Indústria,9760
2021-04-11,8022,849,2021,4,11,Abril,12.9,Indústria,4740
2021-04-22,8035,1273,2021,4,22,Abril,12.9,Indústria,2802
2021-04-04,8032,323,2021,4,4,Abril,12.9,Indústria,1364
2021-04-16,8020,584,2021,4,16,Abril,12.9,Indústria,47478
2021-04-06,8019,720,2021,4,6,Abril,12.9,Indústria,29096
2021-04-18,8038,541,2021,4,18,Abril,12.9,Indústria,167048
2021-04-22,8003,1184,2021,4,22,Abril,12.9,Indústria,13907
2021-04-10,8010,532,2021,4,10,Abril,12.9,Indústria,4473
2021-04-05,8025,343,2021,4,5,Abril,12.9,Indústria,10001
2021-04-06,8042,25995,2021,4,6,Abril,12.9,Indústria,2850
2021-04-13,8012,280,2021,4,13,Abril,12.9,Indústria,9889
2021-04-06,8035,2207,2021,4,6,Abril,12.9,Indústria,3011
2021-04-11,8016,13468,2021,4,11,Abril,12.9,Indústria,3954
2021-04-10,8020,771,2021,4,10,Abril,12.9,Indústria,31989
2021-04-12,8012,265,2021,4,12,Abril,12.9,Indústria,9706
2021-04-29,8006,479,2021,4,29,Abril,12.9,Indústria,16534
2021-04-23,8014,434,2021,4,23,Abril,12.9,Indústria,12535
2021-04-06,8027,5981,2021,4,6,Abril,12.9,Indústria,5215
2021-04-10,8030,4022,2021,4,10,Abril,12.9,Indústria,170535
2021-04-27,8001,432,2021,4,27,Abril,12.9,Indústria,5170
2021-04-06,8003,313,2021,4,6,Abril,12.9,Indústria,11724
2021-04-17,8020,368,2021,4,17,Abril,12.9,Indústria,31151
