"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nacionalitat","Nombre"
2021,8,"Nou Barris",48,"la Guineueta","Dones","França",21
2021,8,"Nou Barris",49,"Canyelles","Dones","França",0
2021,8,"Nou Barris",50,"les Roquetes","Dones","França",1
2021,8,"Nou Barris",51,"Verdun","Dones","França",1
2021,8,"Nou Barris",52,"la Prosperitat","Dones","França",0
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones","França",7
2021,8,"Nou Barris",54,"Torre Baró","Dones","França",1
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones","França",8
2021,8,"Nou Barris",56,"Vallbona","Dones","França",251
2021,9,"Sant Andreu",57,"la Trinitat Vella","Dones","França",74
2021,9,"Sant Andreu",58,"Baró de Viver","Dones","França",35
2021,9,"Sant Andreu",59,"el Bon Pastor","Dones","França",25
2021,9,"Sant Andreu",60,"Sant Andreu","Dones","França",45
2021,9,"Sant Andreu",61,"la Sagrera","Dones","França",199
2021,9,"Sant Andreu",62,"el Congrés i els Indians","Dones","França",86
2021,9,"Sant Andreu",63,"Navas","Dones","França",98
2021,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Dones","França",87
2021,10,"Sant Martí",65,"el Clot","Dones","França",289
2021,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Dones","França",79
2021,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Dones","França",601
2021,10,"Sant Martí",68,"el Poblenou","Dones","França",33
2021,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Dones","França",68
2021,10,"Sant Martí",70,"el Besòs i el Maresme","Dones","França",28
2021,10,"Sant Martí",71,"Provençals del Poblenou","Dones","França",33
2021,10,"Sant Martí",72,"Sant Martí de Provençals","Dones","França",390
2021,10,"Sant Martí",73,"la Verneda i la Pau","Dones","França",309
2021,1,"Ciutat Vella",1,"el Raval","Dones","Regne Unit",279
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones","Regne Unit",169
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones","Regne Unit",221
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones","Regne Unit",0
2021,2,"Eixample",5,"el Fort Pienc","Dones","Regne Unit",16
2021,2,"Eixample",6,"la Sagrada Família","Dones","Regne Unit",20
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones","Regne Unit",38
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones","Regne Unit",19
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones","Regne Unit",24
2021,2,"Eixample",10,"Sant Antoni","Dones","Regne Unit",76
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones","Regne Unit",48
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones","Regne Unit",218
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones","Regne Unit",22
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones","Regne Unit",42
