"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"08077","660","752","194","153","786","279","1216","18","178","05-12-2021 11:00:05"
"08078","722","832","185","156","917","296","1154","47","353","05-12-2021 11:00:05"
"08079","675","770","199","150","844","252","1097","42","306","05-12-2021 11:00:05"
"08080","748","799","198","166","844","339","1156","46","345","05-12-2021 11:00:05"
"08081","789","844","258","194","929","252","1163","40","430","05-12-2021 11:00:05"
"08082","726","892","179","144","917","378","1232","28","358","05-12-2021 11:00:05"
"08083","606","687","164","117","731","281","962","44","287","05-12-2021 11:00:05"
"08084","494","607","126","93","569","313","944","15","142","05-12-2021 11:00:05"
"08085","725","777","188","175","865","274","1164","29","309","05-12-2021 11:00:05"
"08086","763","896","203","170","892","394","1343","37","279","05-12-2021 11:00:05"
"08087","572","654","153","106","647","320","1006","14","206","05-12-2021 11:00:05"
"08088","588","674","156","118","703","285","1026","32","204","05-12-2021 11:00:05"
"08089","570","657","152","100","696","279","969","36","222","05-12-2021 11:00:05"
"08090","580","634","153","117","633","311","998","24","192","05-12-2021 11:00:05"
"08091","562","633","101","122","646","326","982","22","191","05-12-2021 11:00:05"
"08092","473","522","109","79","480","327","854","11","130","05-12-2021 11:00:05"
"08093","616","644","159","128","666","307","1097","11","152","05-12-2021 11:00:05"
"08094","682","755","122","141","658","516","1270","25","142","05-12-2021 11:00:05"
"08095","521","567","104","115","537","332","986","15","87","05-12-2021 11:00:05"
"08096","728","804","203","162","853","314","1286","43","203","05-12-2021 11:00:05"
"08097","609","719","174","147","741","266","1117","14","197","05-12-2021 11:00:05"
"08098","597","680","157","156","694","270","1035","25","217","05-12-2021 11:00:05"
"08099","684","736","181","146","840","253","1123","48","249","05-12-2021 11:00:05"
"08100","568","695","146","114","713","290","1024","27","212","05-12-2021 11:00:05"
"08101","789","903","210","142","859","481","1479","16","197","05-12-2021 11:00:05"
"08102","704","883","176","146","818","447","1204","29","354","05-12-2021 11:00:05"
"08103","829","841","244","178","1005","243","1128","37","505","05-12-2021 11:00:05"
"08104","593","653","147","132","735","232","965","25","256","05-12-2021 11:00:05"
"08105","668","760","180","163","801","284","1136","24","268","05-12-2021 11:00:05"
"08106","597","658","183","161","701","210","861","37","357","05-12-2021 11:00:05"
"08107","894","995","218","222","1086","363","1635","16","238","05-12-2021 11:00:05"
"08108","960","975","330","251","1133","221","1470","67","398","05-12-2021 11:00:05"
"08109","494","491","145","127","544","169","858","14","113","05-12-2021 11:00:05"
"08110","1018","1019","384","248","1156","249","1289","35","713","05-12-2021 11:00:05"
